SWL model passYear CO2_ppmv RCP RCP45_2deg_CO2e
140 2 ACCESS1-0 2062 511.9572 RCP45 602.056609589041
141 2 ACCESS1-3 2057 502.1702 RCP45 584.460119863014
142 2 BNU-ESM 2028 430.2626 RCP45 453.410732848485
143 2 CCSM4 2041 463.414 RCP45 509.484114149822
144 2 CESM1-BGC 2047 478.828 RCP45 536.243258026159
145 2 CESM1-CAM5 2051 488.7686 RCP45 559.867068965517
146 2 CMCC-CMS 2052 491.0022 RCP45 564.380667808219
147 2 CMCC-CM 2048 481.397 RCP45 540.802586206896
148 2 CNRM-CM5 2060 508.871 RCP45 596.50779109589
149 2 CSIRO-Mk3-6-0 2051 488.7686 RCP45 559.867068965517
150 2 CanESM2 2033 442.7857 RCP45 474.980823878788
151 2 EC-EARTH 2045 473.69 RCP45 527.323543400713
152 2 GFDL-CM3 2046 476.259 RCP45 531.783400713436
153 2 GISS-E2-H-CC 2050 486.535 RCP45 554.090517241379
154 2 GISS-E2-H 2051 488.7686 RCP45 559.867068965517
155 2 HadGEM2-AO 2055 497.703 RCP45 576.428339041096
156 2 HadGEM2-CC 2054 495.4694 RCP45 572.412448630137
157 2 HadGEM2-ES 2048 481.397 RCP45 540.802586206896
158 2 IPSL-CM5A-LR 2034 445.3656 RCP45 479.424506181818
159 2 IPSL-CM5A-MR 2038 455.6852 RCP45 496.066696789536
160 2 IPSL-CM5B-LR 2065 516.5865 RCP45 615.556095890411
161 2 MIROC-ESM-CHEM 2042 465.983 RCP45 513.943971462544
162 2 MIROC-ESM 2042 465.983 RCP45 513.943971462544
163 2 MIROC5 2086 532.6998 RCP45 666.32402739726
164 2 MPI-ESM-LR 2051 488.7686 RCP45 559.867068965517
165 2 MPI-ESM-MR 2050 486.535 RCP45 554.090517241379
166 2 MRI-CGCM3 2091 534.2027 RCP45 671.059191780822
167 2 NorESM1-ME 2071 524.9856 RCP45 642.01901369863
168 2 NorESM1-M 2081 531.3983 RCP45 662.223410958904
169 2 bcc-csm1-1-m 2035 447.9455 RCP45 483.868188484848
170 2 bcc-csm1-1 2046 476.259 RCP45 531.783400713436
