Year,RCP26,RCP45,RCP60,RCP85
1850,0.12,0.12,0.12,0.12
1990,1.23,1.23,1.23,1.23
2000,1.45,1.45,1.45,1.45
2010,1.81,1.81,1.78,1.84
2020,2.25,2.25,2.15,2.32
2030,2.52,2.67,2.52,2.91
2040,2.65,3.07,2.82,3.61
2050,2.64,3.42,3.20,4.37
2060,2.55,3.67,3.58,5.13
2070,2.47,3.84,4.11,5.89
2080,2.41,3.90,4.60,6.60
2090,2.35,3.91,4.93,7.32
2100,2.30,3.94,5.15,7.97
