Year,RCP26,RCP45,RCP60,RCP85
2000,1.51,1.51,1.51,1.51
2010,1.80,1.80,1.80,1.80
2020,2.11,2.09,2.07,2.15
2030,2.34,2.40,2.32,2.56
2040,2.46,2.70,2.58,3.03
2050,2.49,2.99,2.90,3.56
2060,2.48,3.23,3.25,4.15
2070,2.43,3.39,3.65,4.76
2080,2.35,3.46,4.06,5.37
2090,2.28,3.49,4.42,5.95
2100,2.22,3.54,4.70,6.49
